,source,dest,cost_20ft,time_20ft,cost_40ft,time_40ft,cost_roro,time_roro
71,N2,E2,46.04407895,24.36842105,22.47389568,24.36842105,36.69,27.9
72,N2,E3,25.65988031,20.18518519,12.52446539,20.18518519,21.675,19.0
73,N2,E4,30.16776801,17.46511628,14.72474391,17.46511628,33.215,20.0
74,N2,E5,27.94278093,17.21428571,13.63873831,17.21428571,34.88,22.4
75,N2,E6,28.33592018,27.54545455,13.83062771,27.54545455,35.565,26.0
76,N2,E7,36.53658537,35.6,17.83333333,35.6,120.515,60.7
77,N2,E8,67.7957554,39.85829497,33.09078536,39.85829497,104.055,59.1
78,N2,E9,56.4964628,33.21524581,27.57565447,33.21524581,86.715,49.2
79,N2,E10,35.54369919,32.66666667,17.34871032,32.66666667,133.905,67.4
80,N2,E11,49.84247968,50.0,24.32787698,50.0,225.455,128.0
81,N2,M1,27.85181838,25.92857143,13.59433992,25.92857143,39.76,28.5
82,N2,M2,23.87195122,22.5,11.65178571,22.5,44.91,24.5
83,N2,M3,38.27134147,31.6,18.68005952,31.6,52.0,24.0
84,N2,M4,67.5171494,55.5,32.95479911,55.5,71.815,54.0
85,N2,M5,79.3525343,33.66666667,38.73159412,33.66666667,49.9,38.6
86,N2,M6,65.14182925,33.4,31.79541667,33.4,54.455,24.0
87,N2,M7,55.09061655,38.08333333,26.88946759,38.08333333,50.485,30.1
88,N2,M8,49.05092593,31.14814815,23.94152337,31.14814815,52.62,24.8
89,N2,M9,67.027439,22.0,32.71577381,22.0,80.345,40.4
90,N2,M10,30.00762195,32.0,14.64657738,32.0,38.0,24.0
91,N2,M11,75.3125,38.2,36.75967262,38.2,54.92,38.0
92,N2,M12,46.09793191,38.33333333,22.50018105,38.33333333,46.355,28.3
93,N2,M13,68.0030488,34.2,33.19196429,34.2,56.455,22.0
94,N2,K1,27.17869865,33.05263158,13.26579339,33.05263158,36.12,33.3
95,N2,K2,84.0339177,42.625,41.01655506,42.625,57.515,50.0
96,N2,K3,28.1294779,34.0,13.72986421,34.0,53.07,32.6
97,N2,K4,70.75457315,39.0,34.53497024,39.0,57.515,50.0
98,N2,K5,22.15167683,28.83333333,10.81212798,28.83333333,117.095,58.0
99,N2,A1,22.21253587,42.17647059,10.84183298,42.17647059,43.965,33.6
100,N2,A2,24.0336001,43.91666667,11.73068576,43.91666667,200.86,35.75
101,N2,A3,22.0382148,45.5210084,10.7567477,45.5210084,51.755,45.5
102,N2,A4,16.55476987,42.16129032,8.080304339,42.16129032,67.02,58.3
103,N2,A5,22.13282696,39.4137931,10.80292744,39.4137931,59.425,61.1
104,N2,A6,26.53986281,37.61538462,12.95398065,37.61538462,54.315,46.0
105,N2,A7,24.42747421,32.23076923,11.92293384,32.23076923,56.205,36.8
106,N2,A8,17.87124619,40.0,8.722870164,40.0,86.35,89.0
107,N2,A9,29.98644987,41.22222222,14.63624339,41.22222222,234.23,116.9
108,N2,A10,67.6219512,44.0,33.00595238,44.0,204.95,102.3
109,N2,A11,64.5957317,40.75,31.52886905,40.75,190.31,95.0
110,N2,A12,13.75773628,36.875,6.715085565,36.875,88.88,26.0
111,N2,A13,66.38338415,33.5,32.40141369,33.5,100.67,27.5
112,N2,A14,23.98323171,44.0,11.70610119,44.0,103.29,72.0
113,N2,Z1,43.93277439,38.14285714,21.44337798,38.14285714,94.88,43.1
114,N2,Z2,53.07844075,109.880316,25.90733418,109.880316,90.18,42.7
115,N2,Z3,45.54895471,117.72891,22.23222789,117.72891,94.875,49.5
116,N2,Z4,53.2443788,94.18312799,25.98832775,94.18312799,111.015,24.2
117,N2,Z5,257.8755247,133.426098,125.8678156,133.426098,248.87,42.7
118,N2,Z6,121.3531881,62.78875199,59.23191324,62.78875199,117.115,58.5
119,N2,Z7,227.5372277,117.72891,111.0598373,117.72891,219.59,109.6
120,N3,N9,41.64634147,5.0,20.32738095,5.0,24.5,25.3
121,N3,N10,28.57533537,15.18431183,13.94748512,15.18431183,27.085,14.7
122,N3,S1,45.50744554,23.545782,22.21196746,23.545782,33.43,21.9
123,N3,S2,75.84574255,39.24297,37.01994577,39.24297,73.195,36.5
124,N3,S3,121.3531881,62.78875199,59.23191324,62.78875199,117.115,58.5
125,N3,S4,142.8766769,75.92155917,69.7374256,75.92155917,29.5,73.4
126,N3,S5,49.32418699,24.66666667,24.07490079,24.66666667,96.745,51.4
127,N3,S6,57.15067075,30.36862367,27.89497024,30.36862367,55.28,29.4
128,N3,S7,42.86300305,22.77646775,20.92122768,22.77646775,27.5,22.0
129,N3,S8,128.5890092,68.32940325,62.76368304,68.32940325,44.5,66.1
130,N3,E1,27.2527439,19.33333333,13.30193452,19.33333333,173.425,98.5
131,N3,E2,124.2922182,73.07354078,60.66643983,73.07354078,190.77,108.3
132,N3,E3,101.6936331,59.78744246,49.63617804,59.78744246,156.085,88.6
133,N3,E4,39.60679443,24.28571429,19.33188776,24.28571429,138.74,78.8
134,N3,E5,90.3943405,53.1443933,44.12104715,53.1443933,138.74,78.8
135,N3,E6,82.6244412,44.68267661,40.32859631,44.68267661,120.515,60.7
136,N3,E7,91.8049347,49.64741845,44.80955146,49.64741845,133.905,67.4
137,N3,E8,90.3943405,53.1443933,44.12104715,53.1443933,138.74,78.8
138,N3,E9,79.09504795,46.50134413,38.60591626,46.50134413,121.4,68.9
139,N3,E10,100.9854282,54.6121603,49.2905066,54.6121603,147.295,74.1
140,N3,E11,158.1900959,93.00268827,77.21183251,93.00268827,242.795,137.9
141,N3,M1,100.9854282,54.6121603,49.2905066,54.6121603,147.295,74.1
142,N3,M2,41.53963415,29.0,20.27529762,29.0,160.685,80.9
143,N3,M3,119.3464151,64.54164399,58.25241689,64.54164399,174.075,87.6
144,N3,M4,242.7063762,125.577504,118.4638265,125.577504,234.23,116.9
145,N3,M5,56.6142204,43.71428571,27.63313138,43.71428571,55.39,51.3
146,N3,M6,49.89329269,41.5,24.35267857,41.5,55.39,40.0
147,N3,M7,136.5223366,70.63734599,66.63590239,70.63734599,131.755,65.8
148,N3,M8,106.1840396,54.94015799,51.82792408,54.94015799,102.475,51.2
149,N3,M9,64.2634543,34.75319292,31.36668602,34.75319292,93.735,47.2
150,N3,M10,73.44394775,39.71793476,35.84764117,39.71793476,107.125,53.9
151,N3,M11,136.5223366,70.63734599,66.63590239,70.63734599,131.755,65.8
152,N3,M12,121.3531881,62.78875199,59.23191324,62.78875199,117.115,58.5
153,N3,M13,58.6432927,47.5,28.6235119,47.5,55.39,39.0
154,N3,K1,119.3464151,64.54164399,58.25241689,64.54164399,174.075,87.6
155,N3,K2,197.1989307,102.031722,96.25185901,102.031722,190.31,95.0
156,N3,K3,110.1659217,59.57690214,53.77146175,59.57690214,160.685,80.9
157,N3,K4,212.3680792,109.880316,103.6558482,109.880316,204.95,102.3
158,N3,K5,128.5269086,69.50638583,62.73337204,69.50638583,187.47,94.4
159,N3,A1,128.5269086,69.50638583,62.73337204,69.50638583,187.47,94.4
160,N3,A2,137.7074021,74.47112768,67.21432718,74.47112768,200.86,101.1
161,N3,A3,146.8878955,79.43586953,71.69528233,79.43586953,214.25,107.8
162,N3,A4,156.068389,84.40061137,76.17623748,84.40061137,227.64,114.6
163,N3,A5,156.068389,84.40061137,76.17623748,84.40061137,227.64,114.6
164,N3,A6,146.8878955,79.43586953,71.69528233,79.43586953,214.25,107.8
165,N3,A7,128.5269086,69.50638583,62.73337204,69.50638583,187.47,94.4
166,N3,A8,273.0446732,141.274692,133.2718048,141.274692,263.51,131.6
167,N3,A9,156.068389,84.40061137,76.17623748,84.40061137,227.64,114.6
168,N3,A10,212.3680792,109.880316,103.6558482,109.880316,204.95,102.3
169,N3,A11,197.1989307,102.031722,96.25185901,102.031722,190.31,95.0
170,N3,A12,169.4893885,99.64573743,82.72696341,99.64573743,260.14,147.7
171,N3,A13,166.8606337,86.33453399,81.4438807,86.33453399,161.035,80.4
172,N3,A14,146.8878955,79.43586953,71.69528233,79.43586953,214.25,107.8
